"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-117","48","48","2","0","0","1","1","1"
"-116","216","216","9","0","0","1","1","1"
"-111","96","96","4","0","0","2","1","2"
"-110","90","90","4","0","0","2","1","2"
"-109","44","44","2","0","0","1","1","1"
"-108","46","46","2","0","0","1","1","1"
"-107","132","132","6","0","0","1","1","1"
"-106","44","44","2","0","0","1","1","1"
"-105","48","48","2","0","0","1","1","1"
"-104","68","68","3","0","0","2","1","1"
"-103","66","66","3","0","0","1","1","1"
"-102","220","220","10","0","0","2","1","1"
"-101","72","72","3","0","0","1","1","1"
"-100","90","90","4","0","0","1","1","1"
"-99","132","132","9","0","0","1","1","1"
"-98","144","144","6","0","0","1","1","1"
"-97","72","72","3","0","0","2","1","2"
"-96","270","270","12","0","0","3","1","3"
"-95","294","294","13","0","0","5","1","4"
"-94","144","144","6","0","0","3","1","3"
"-93","810","810","35","0","0","3","1","3"
"-92","110","110","5","0","0","2","1","2"
"-91","90","90","4","0","0","2","1","2"
"-90","90","90","4","0","0","2","1","2"
"-89","44","44","2","0","0","1","1","1"
"-88","48","48","2","0","0","1","1","1"
"-87","22","22","2","0","0","1","1","1"
"-86","380","380","16","0","0","5","1","4"
"-85","24","24","1","0","0","1","1","1"
"-84","100","100","5","0","0","3","1","3"
"-83","248","248","11","0","0","3","1","3"
"-82","392","392","17","0","0","1","1","1"
"-81","96","96","4","0","0","1","1","1"
"-80","48","48","2","0","0","1","1","1"
"-78","24","24","1","0","0","1","1","1"
"-77","70","70","3","0","0","1","1","1"
"-76","22","22","1","0","0","1","1","1"
"-75","111","111","5","0","0","2","1","2"
"-73","92","92","4","0","0","1","1","1"
"-72","198","198","10","0","0","3","1","3"
"-71","0","0","38","0","0","2","1","1"
"-70","162","162","7","0","0","3","1","3"
"-69","48","48","2","0","0","1","1","1"
"-68","78","78","4","0","0","2","1","2"
"-67","111","111","5","0","0","2","1","2"
"-66","92","92","4","0","0","1","1","1"
"-65","96","96","4","0","0","2","1","1"
"-64","276","276","12","0","0","4","1","4"
"-63","70","70","3","0","0","2","1","1"
"-62","348","348","15","0","0","6","1","6"
"-60","394","394","17","0","0","3","1","2"
"-59","208","208","9","0","0","2","1","2"
"-58","182","182","8","0","0","3","1","2"
"-57","192","192","10","0","0","3","1","2"
"-55","214","214","9","0","0","3","1","3"
"-54","184","184","8","0","0","2","1","2"
"-53","160","160","7","0","0","2","1","2"
"-52","322","322","14","0","0","3","1","3"
"-51","134","134","6","0","0","2","1","2"
"-50","22","22","1","0","0","1","1","1"
"-49","332","332","14","0","0","4","1","3"
"-48","239","239","13","0","0","3","1","3"
"-47","112","112","5","0","0","2","1","2"
"-46","611","611","27","0","0","7","1","6"
"-45","78","78","4","0","0","2","1","2"
"-44","112","112","5","0","0","2","1","2"
"-43","74","74","4","0","0","2","1","2"
"-42","464","464","20","0","0","5","1","4"
"-41","293","293","13","0","0","4","1","3"
"-40","544","544","25","0","0","4","1","4"
"-39","833","833","40","0","0","12","1","11"
"-38","392","392","17","0","0","6","1","5"
"-37","360","360","16","0","0","6","1","4"
"-36","462","462","20","0","0","5","1","5"
"-35","434","434","19","0","0","5","1","5"
"-34","457","457","22","0","0","10","1","9"
"-33","590","590","28","0","0","8","1","8"
"-32","414","414","20","0","0","11","1","8"
"-31","734","734","32","0","0","11","1","9"
"-30","96","96","4","0","0","2","1","2"
"-29","412","412","18","0","0","7","1","8"
"-28","440","440","19","0","0","8","1","6"
"-27","733","733","32","0","0","12","1","8"
"-26","440","440","20","0","0","7","1","7"
"-25","731.5999984741211","731.5999984741211","32","0","0","11","1","10"
"-24","948","948","45","0","0","19","1","15"
"-23","926","926","43","0","0","20","1","12"
"-22","635","635","29","0","0","9","1","9"
"-21","611","611","27","0","0","10","1","8"
"-20","842","842","37","0","0","13","1","11"
"-19","650","650","28","0","0","9","1","8"
"-18","538","538","29","0","0","12","1","10"
"-17","634","634","28","0","0","11","1","7"
"-16","735","735","32","0","0","8","1","5"
"-15","1004","1004","44","0","0","17","1","15"
"-14","278","278","12","0","0","7","1","6"
"-13","540","540","26","0","0","9","1","9"
"-12","989.1999988555908","989.1999988555908","44","0","0","13","1","11"
"-11","1136","1136","49","0","0","20","1","13"
"-10","795.6000022888184","795.6000022888184","38","0","0","16","1","14"
"-9","586","586","27","0","0","13","1","10"
"-8","908.6000003814697","908.6000003814697","43","0","0","20","1","12"
"-7","1396.2000007629395","1396.2000007629395","70","0","0","28","1","20"
"-6","1197","1197","57","0","0","24","1","14"
"-5","880.5999984741211","880.5999984741211","51","0","0","36","1","17"
"-4","1691.1999988555908","1691.1999988555908","172","0","0","95","1","25"
"-3","1939.2000007629395","1939.2000007629395","99","0","0","49","1","24"
"-2","2293","2293","109","0","0","63","1","25"
"-1","3241.9999980926514","3241.9999980926514","162","0","0","106","1","29"
"0","3915.3999977111816","3915.3999977111816","215","0","0","145","1","34"
"1","128","128","5","0","0","4","1","3"
"2","-20","-20","-1","0","0","2","1","2"
"4","-48","-48","-2","0","0","1","1","1"
"9","-48","-48","-2","0","0","1","1","1"
"16","-96","-96","-4","0","0","1","1","1"
"27","-66","-66","-4","0","0","2","1","1"
"Total","48196.599994659424","48196.599994659424","2399","0","0","1057","undefined","undefined"
