"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-77","206","206","9","0","0","2","1","2"
"-76","128","128","6","0","0","2","1","2"
"-74","40","40","2","0","0","1","1","1"
"-73","88","88","4","0","0","1","1","1"
"-70","132","132","6","0","0","3","1","3"
"-69","100","100","5","0","0","1","1","1"
"-68","90","90","4","0","0","2","1","2"
"-67","70","70","3","0","0","2","1","2"
"-66","134","134","6","0","0","3","1","3"
"-64","114","114","5","0","0","2","1","2"
"-63","136","136","6","0","0","2","1","2"
"-62","340","340","15","0","0","4","1","3"
"-61","40","40","2","0","0","1","1","1"
"-60","244","244","11","0","0","4","1","4"
"-59","374","374","17","0","0","7","1","5"
"-58","668","668","30","0","0","8","1","6"
"-57","292","292","13","0","0","4","1","4"
"-56","194","194","9","0","0","4","1","4"
"-55","336","336","15","0","0","6","1","3"
"-54","284","284","13","0","0","4","1","4"
"-53","486","486","22","0","0","5","1","4"
"-52","294","294","14","0","0","4","1","3"
"-51","352","352","16","0","0","4","1","4"
"-50","332","332","14","0","0","3","1","3"
"-49","607","607","28","0","0","9","1","7"
"-48","204","204","9","0","0","3","1","2"
"-47","30","30","2","0","0","1","1","1"
"-46","714","714","35","0","0","10","1","9"
"-45","754","754","34","0","0","10","1","9"
"-44","448","448","20","0","0","6","1","5"
"-43","438","438","21","0","0","7","1","7"
"-42","612","612","27","0","0","6","1","6"
"-41","811","811","37","0","0","12","1","11"
"-40","542","542","25","0","0","7","1","5"
"-39","779","779","37","0","0","12","1","11"
"-38","318","318","15","0","0","8","1","7"
"-37","168","168","8","0","0","4","1","4"
"-36","456","456","21","0","0","5","1","4"
"-35","398","398","17","0","0","7","1","6"
"-34","114","114","5","0","0","2","1","2"
"-33","710","710","31","0","0","9","1","8"
"-32","250","250","12","0","0","4","1","4"
"-31","414","414","19","0","0","8","1","6"
"-30","446","446","20","0","0","8","1","8"
"-29","440","440","20","0","0","8","1","6"
"-28","456","456","21","0","0","9","1","8"
"-27","250","250","12","0","0","6","1","3"
"-26","334","334","15","0","0","6","1","5"
"-25","555","555","26","0","0","8","1","8"
"-24","937","937","41","0","0","11","1","10"
"-23","66","66","3","0","0","1","1","1"
"-22","429","429","22","0","0","8","1","7"
"-21","392","392","19","0","0","12","1","10"
"-20","642","642","30","0","0","13","1","8"
"-19","136","136","6","0","0","2","1","2"
"-18","808","808","37","0","0","15","1","10"
"-17","368","368","17","0","0","9","1","8"
"-16","551","551","28","0","0","8","1","5"
"-15","210","210","10","0","0","3","1","3"
"-14","786","786","38","0","0","13","1","8"
"-13","612","612","28","0","0","12","1","9"
"-12","1234","1234","57","0","0","19","1","10"
"-11","1344","1344","59","0","0","17","1","9"
"-10","1034","1034","48","0","0","16","1","12"
"-9","842","842","39","0","0","17","1","13"
"-8","684","684","31","0","0","13","1","8"
"-7","1516","1516","67","0","0","29","1","12"
"-6","1784","1784","80","0","0","44","1","18"
"-5","2390","2390","108","0","0","45","1","19"
"-4","772","772","34","0","0","25","1","13"
"-3","1458","1458","66","0","0","37","1","18"
"-2","1048","1048","46","0","0","58","1","26"
"-1","324","324","15","0","0","73","1","26"
"0","-4","-4","5","0","0","66","1","25"
"1","-970","-970","-44","0","0","16","1","3"
"2","-68","-68","-3","0","0","1","1","1"
"3","-772","-772","-34","0","0","9","1","1"
"4","-196","-196","-9","0","0","3","1","2"
"5","-424","-424","-20","0","0","5","1","3"
"6","-306","-306","-14","0","0","4","1","4"
"7","-158","-158","-7","0","0","3","1","2"
"8","-926","-926","-41","0","0","10","1","3"
"10","-596","-596","-27","0","0","11","1","3"
"11","-658","-658","-30","0","0","7","1","3"
"12","-368","-368","-16","0","0","5","1","3"
"13","-114","-114","-5","0","0","1","1","1"
"14","-116","-116","-5","0","0","1","1","1"
"15","-44","-44","-2","0","0","1","1","1"
"17","-70","-70","-3","0","0","1","1","1"
"18","-44","-44","-2","0","0","1","1","1"
"21","-195","-195","-11","0","0","3","1","2"
"24","-48","-48","-2","0","0","1","1","1"
"Total","31012","31012","1423","0","0","903","undefined","undefined"
