"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-143","50","50","2","0","0","1","1","1"
"-141","75","75","3","0","0","1","1","1"
"-134","50","50","2","0","0","1","1","1"
"-133","95","95","4","0","0","2","1","2"
"-130","50","50","2","0","0","1","1","1"
"-128","50","50","2","0","0","1","1","1"
"-127","100","100","4","0","0","2","1","2"
"-126","50","50","2","0","0","1","1","1"
"-125","25","25","1","0","0","1","1","1"
"-124","50","50","2","0","0","1","1","1"
"-122","120","120","5","0","0","2","1","2"
"-117","40","40","2","0","0","1","1","1"
"-115","25","25","1","0","0","1","1","1"
"-114","50","50","2","0","0","1","1","1"
"-111","75","75","3","0","0","2","1","2"
"-106","40","40","2","0","0","1","1","1"
"-105","25","25","1","0","0","1","1","1"
"-103","50","50","2","0","0","1","1","1"
"-102","-25","-25","-1","0","0","1","1","1"
"-100","25","25","1","0","0","1","1","1"
"-98","50","50","2","0","0","1","1","1"
"-95","125","125","5","0","0","2","1","2"
"-93","25","25","1","0","0","1","1","1"
"-92","40","40","2","0","0","1","1","1"
"-91","50","50","2","0","0","1","1","1"
"-90","100","100","4","0","0","1","1","1"
"-81","115","115","5","0","0","3","1","3"
"-80","120","120","5","0","0","2","1","2"
"-79","100","100","4","0","0","1","1","1"
"-78","75","75","3","0","0","2","1","2"
"-77","130","130","6","0","0","3","1","3"
"-75","40","40","2","0","0","1","1","1"
"-74","25","25","1","0","0","1","1","1"
"-73","135","135","6","0","0","3","1","2"
"-72","100","100","4","0","0","2","1","2"
"-71","50","50","2","0","0","1","1","1"
"-70","100","100","4","0","0","2","1","2"
"-69","575","575","23","0","0","7","1","5"
"-68","100","100","4","0","0","2","1","2"
"-67","0","0","3","0","0","1","1","1"
"-66","300","300","12","0","0","4","1","4"
"-65","215","215","10","0","0","5","1","5"
"-64","50","50","2","0","0","1","1","1"
"-63","200","200","8","0","0","2","1","1"
"-62","75","75","3","0","0","2","1","2"
"-61","100","100","4","0","0","2","1","2"
"-60","325","325","13","0","0","5","1","3"
"-59","425","425","17","0","0","5","1","4"
"-58","280","280","12","0","0","4","1","4"
"-57","250","250","12","0","0","6","1","5"
"-56","580","580","26","0","0","11","1","7"
"-55","275","275","11","0","0","4","1","4"
"-54","120","120","6","0","0","2","1","1"
"-53","365","365","15","0","0","6","1","6"
"-52","355","355","16","0","0","8","1","5"
"-51","240","240","11","0","0","6","1","4"
"-50","190","190","8","0","0","6","1","5"
"-49","195","195","9","0","0","5","1","3"
"-48","265","265","11","0","0","8","1","8"
"-47","25","25","1","0","0","1","1","1"
"-46","200","200","8","0","0","4","1","4"
"-45","60","60","3","0","0","1","1","1"
"-44","165","165","7","0","0","4","1","4"
"-43","500","500","20","0","0","7","1","6"
"-42","75","75","3","0","0","2","1","2"
"-41","325","325","14","0","0","4","1","4"
"-40","240","240","10","0","0","4","1","4"
"-39","390","390","16","0","0","7","1","6"
"-38","695","695","29","0","0","13","1","10"
"-37","605","605","25","0","0","12","1","10"
"-36","150","150","6","0","0","3","1","3"
"-35","265","265","11","0","0","6","1","6"
"-34","150","150","6","0","0","4","1","3"
"-33","590","590","26","0","0","10","1","7"
"-32","415","415","17","0","0","6","1","5"
"-31","565","565","23","0","0","10","1","7"
"-30","350","350","14","0","0","7","1","6"
"-29","600","600","24","0","0","11","1","6"
"-28","770","770","33","0","0","15","1","10"
"-27","475","475","22","0","0","10","1","7"
"-26","700","700","29","0","0","15","1","11"
"-25","650","650","29","0","0","14","1","12"
"-24","725","725","30","0","0","15","1","9"
"-23","385","385","16","0","0","9","1","5"
"-22","410","410","16","0","0","8","1","7"
"-21","800","800","32","0","0","18","1","12"
"-20","1040","1040","44","0","0","22","1","15"
"-19","950","950","40","0","0","22","1","12"
"-18","900","900","38","0","0","21","1","12"
"-17","1155","1155","48","0","0","28","1","16"
"-16","2005","2005","82","0","0","42","1","15"
"-15","2025","2025","83","0","0","42","1","13"
"-14","2765","2765","114","0","0","56","1","15"
"-13","2050","2050","87","0","0","46","1","19"
"-12","2595","2595","104","0","0","52","1","17"
"-11","3545","3545","146","0","0","79","1","19"
"-10","2425","2425","102","0","0","50","1","16"
"-9","1910","1910","86","0","0","52","1","15"
"-8","3380","3380","144","0","0","69","1","18"
"-7","2865","2865","208","0","0","87","1","19"
"-6","3050","3050","133","0","0","68","1","15"
"-5","2325","2325","100","0","0","57","1","17"
"-4","1505","1505","71","0","0","38","1","15"
"-3","2200","2200","92","0","0","60","1","18"
"-2","2075","2075","94","0","0","55","1","16"
"-1","1730","1730","76","0","0","62","1","13"
"0","2495","2495","111","0","0","105","1","22"
"1","25","25","6","0","0","3","1","1"
"2","25","25","3","0","0","2","1","2"
"16","-40","-40","-2","0","0","1","1","1"
"Total","64160","64160","2816","0","0","1493","undefined","undefined"
