"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-204","30","30","2","0","0","1","1","1"
"-199","46","46","2","0","0","1","1","1"
"-188","22","22","1","0","0","1","1","1"
"-180","24","24","1","0","0","1","1","1"
"-136","96","96","4","0","0","1","1","1"
"-127","30","30","2","0","0","1","1","1"
"-120","46","46","2","0","0","1","1","1"
"-103","24","24","1","0","0","1","1","1"
"-98","15","15","1","0","0","1","1","1"
"-86","60","60","4","0","0","1","1","1"
"-85","60","60","4","0","0","1","1","1"
"-83","96","96","4","0","0","2","1","2"
"-81","48","48","2","0","0","1","1","1"
"-78","30","30","2","0","0","1","1","1"
"-76","24","24","1","0","0","1","1","1"
"-75","140","140","6","0","0","2","1","2"
"-74","46","46","2","0","0","1","1","1"
"-73","24","24","1","0","0","1","1","1"
"-72","48","48","2","0","0","1","1","1"
"-71","30","30","2","0","0","2","1","1"
"-70","52","52","3","0","0","3","1","2"
"-69","72","72","3","0","0","2","1","2"
"-67","46","46","2","0","0","2","1","2"
"-64","48","48","2","0","0","1","1","1"
"-60","60","60","3","0","0","3","1","1"
"-59","30","30","2","0","0","1","1","1"
"-57","40","40","2","0","0","1","1","1"
"-56","24","24","1","0","0","1","1","1"
"-54","82","82","2","0","0","2","1","2"
"-53","96","96","4","0","0","1","1","1"
"-50","30","30","2","0","0","1","1","1"
"-49","182","182","8","0","0","3","1","3"
"-48","218","218","8","0","0","3","1","3"
"-47","46","46","2","0","0","1","1","1"
"-46","14","14","-1","0","0","2","1","2"
"-45","118","118","5","0","0","2","1","2"
"-44","20","20","1","0","0","1","1","1"
"-43","72","72","9","0","0","2","1","2"
"-42","39","39","12","0","0","5","1","4"
"-41","83","83","4","0","0","3","1","3"
"-40","96","96","4","0","0","2","1","2"
"-38","96","96","6","0","0","3","1","2"
"-37","48","48","2","0","0","1","1","1"
"-36","82","82","8","0","0","4","1","3"
"-35","116","116","8","0","0","3","1","3"
"-34","225","225","11","0","0","3","1","3"
"-33","60","60","1","0","0","1","1","1"
"-32","298","298","18","0","0","3","1","3"
"-31","184","184","8","0","0","4","1","4"
"-30","318","318","12","0","0","5","1","5"
"-29","232","232","15","0","0","6","1","6"
"-28","268","268","35","0","0","17","1","6"
"-27","46","46","14","0","0","8","1","3"
"-26","0","0","21","0","0","10","1","3"
"-25","116","116","13","0","0","8","1","6"
"-24","158","158","13","0","0","8","1","7"
"-23","106","106","6","0","0","4","1","4"
"-22","102","102","12","0","0","8","1","5"
"-21","432","432","34","0","0","20","1","10"
"-20","15","15","2","0","0","4","1","3"
"-19","333","333","34","0","0","18","1","7"
"-18","136","136","24","0","0","22","1","7"
"-17","287","287","20","0","0","10","1","8"
"-16","384","384","17","0","0","8","1","7"
"-15","424","424","59","0","0","37","1","12"
"-14","320","320","28","0","0","12","1","10"
"-13","532","532","25","0","0","13","1","10"
"-12","857","857","45","0","0","26","1","15"
"-11","651","651","34","0","0","18","1","12"
"-10","650","650","33","0","0","19","1","11"
"-9","773","773","31","0","0","34","1","14"
"-8","976","976","51","0","0","28","1","14"
"-7","642","642","38","0","0","25","1","19"
"-6","1145","1145","67","0","0","39","1","18"
"-5","1055","1055","59","0","0","46","1","17"
"-4","1854","1854","116","0","0","70","1","22"
"-3","2628","2628","136","0","0","82","1","21"
"-2","2754","2754","170","0","0","106","1","24"
"-1","3599","3599","227","0","0","156","1","27"
"0","5660","5660","575","0","0","431","1","27"
"1","-82","-82","-5","0","0","2","1","2"
"3","-5","-5","-1","0","0","1","1","1"
"6","-20","-20","1","0","0","2","1","2"
"7","-44","-44","-2","0","0","1","1","1"
"Total","30818","30818","2145","0","0","1391","undefined","undefined"
