"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-41","44","44","2","0","0","1","1","1"
"-37","84","84","4","0","0","1","1","1"
"-35","88","88","4","0","0","4","1","1"
"-31","168","168","8","0","0","5","1","2"
"-30","44","44","2","0","0","1","1","1"
"-29","22","22","1","0","0","1","1","1"
"-24","128","128","6","0","0","2","1","2"
"-22","120","120","6","0","0","2","1","2"
"-20","18","18","1","0","0","1","1","1"
"-19","44","44","2","0","0","1","1","1"
"-18","80","80","4","0","0","1","1","1"
"-17","252","252","12","0","0","6","1","5"
"-16","154","154","7","0","0","5","1","4"
"-15","184","184","9","0","0","5","1","5"
"-14","172","172","8","0","0","4","1","4"
"-13","48","48","2","0","0","4","1","3"
"-12","186","186","9","0","0","5","1","4"
"-11","148","148","7","0","0","3","1","3"
"-10","236","236","11","0","0","5","1","5"
"-9","194","194","9","0","0","5","1","4"
"-8","-14","-14","-1","0","0","3","1","3"
"-7","44","44","2","0","0","1","1","1"
"-6","296","296","14","0","0","9","1","6"
"-5","204","204","15","0","0","8","1","5"
"-4","402","402","21","0","0","11","1","8"
"-3","152","152","9","0","0","6","1","5"
"-2","242","242","14","0","0","10","1","6"
"-1","364","364","21","0","0","14","1","9"
"0","1494","1494","130","0","0","98","1","12"
"1","-42","-42","-4","0","0","2","1","2"
"4","-22","-22","-1","0","0","1","1","1"
"7","19","19","1","0","0","1","1","1"
"Total","5553","5553","335","0","0","226","undefined","undefined"
