"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-202","20","20","1","0","0","1","1","1"
"-188","22","22","1","0","0","1","1","1"
"-163","44","44","2","0","0","1","1","1"
"-162","282","282","13","0","0","3","1","2"
"-161","40","40","2","0","0","1","1","1"
"-158","110","110","5","0","0","1","1","1"
"-157","132","132","6","0","0","2","1","2"
"-153","60","60","3","0","0","1","1","1"
"-151","230","230","11","0","0","4","1","2"
"-149","42","42","2","0","0","2","1","1"
"-148","20","20","1","0","0","1","1","1"
"-147","42","42","2","0","0","2","1","1"
"-146","42","42","2","0","0","1","1","1"
"-144","40","40","2","0","0","1","1","1"
"-141","20","20","1","0","0","1","1","1"
"-139","140","140","7","0","0","3","1","3"
"-135","84","84","4","0","0","1","1","1"
"-134","22","22","1","0","0","1","1","1"
"-129","84","84","4","0","0","2","1","2"
"-128","190","190","9","0","0","3","1","2"
"-124","84","84","4","0","0","2","1","2"
"-120","44","44","2","0","0","1","1","1"
"-119","88","88","4","0","0","1","1","1"
"-118","40","40","2","0","0","1","1","1"
"-117","80","80","4","0","0","2","1","1"
"-116","162","162","8","0","0","1","1","1"
"-115","40","40","2","0","0","1","1","1"
"-114","44","44","2","0","0","1","1","1"
"-113","90","90","5","0","0","3","1","2"
"-112","40","40","2","0","0","1","1","1"
"-110","44","44","2","0","0","1","1","1"
"-107","40","40","3","0","0","2","1","2"
"-102","40","40","2","0","0","1","1","1"
"-98","240","240","11","0","0","1","1","1"
"-96","22","22","1","0","0","1","1","1"
"-95","84","84","4","0","0","2","1","2"
"-94","62","62","4","0","0","3","1","1"
"-92","60","60","3","0","0","2","1","2"
"-91","50","50","3","0","0","3","1","2"
"-90","120","120","8","0","0","1","1","1"
"-89","40","40","2","0","0","1","1","1"
"-88","0","0","0","0","0","2","1","2"
"-86","42","42","2","0","0","2","1","2"
"-85","44","44","2","0","0","1","1","1"
"-83","88","88","10","0","0","4","1","2"
"-80","15","15","1","0","0","1","1","1"
"-79","-20","-20","-1","0","0","1","1","1"
"-78","20","20","1","0","0","1","1","1"
"-76","126","126","7","0","0","2","1","2"
"-72","44","44","2","0","0","1","1","1"
"-71","15","15","1","0","0","1","1","1"
"-69","44","44","2","0","0","1","1","1"
"-68","44","44","2","0","0","1","1","1"
"-67","60","60","3","0","0","1","1","1"
"-66","15","15","1","0","0","1","1","1"
"-62","44","44","2","0","0","1","1","1"
"-61","88","88","4","0","0","1","1","1"
"-60","140","140","7","0","0","3","1","3"
"-59","44","44","2","0","0","1","1","1"
"-58","60","60","3","0","0","2","1","2"
"-56","220","220","10","0","0","3","1","2"
"-55","22","22","1","0","0","1","1","1"
"-53","104","104","5","0","0","1","1","1"
"-52","160","160","8","0","0","3","1","2"
"-51","132","132","6","0","0","2","1","2"
"-50","180","180","9","0","0","3","1","3"
"-48","30","30","2","0","0","1","1","1"
"-47","117","117","6","0","0","3","1","3"
"-46","44","44","2","0","0","1","1","1"
"-45","144","144","7","0","0","3","1","3"
"-42","174","174","8","0","0","3","1","3"
"-41","174","174","10","0","0","4","1","3"
"-40","106","106","5","0","0","2","1","2"
"-39","30","30","2","0","0","1","1","1"
"-38","40","40","2","0","0","1","1","1"
"-37","166","166","8","0","0","4","1","4"
"-36","104","104","5","0","0","4","1","3"
"-35","80","80","4","0","0","4","1","3"
"-34","216","216","10","0","0","4","1","4"
"-33","52","52","3","0","0","2","1","2"
"-31","249","249","12","0","0","4","1","4"
"-30","101","101","5","0","0","4","1","4"
"-29","40","40","2","0","0","1","1","1"
"-28","262","262","12","0","0","4","1","4"
"-27","213","213","10","0","0","3","1","3"
"-26","252","252","12","0","0","5","1","4"
"-25","128","128","6","0","0","2","1","2"
"-24","55","55","4","0","0","5","1","2"
"-23","146","146","7","0","0","2","1","2"
"-22","81","81","4","0","0","2","1","2"
"-21","127","127","6","0","0","7","1","6"
"-20","212","212","10","0","0","4","1","3"
"-19","120","120","6","0","0","2","1","2"
"-18","400","400","19","0","0","8","1","7"
"-17","373","373","18","0","0","11","1","9"
"-16","404","404","19","0","0","8","1","7"
"-15","64","64","3","0","0","2","1","2"
"-14","184","184","7","0","0","8","1","6"
"-13","406","406","19","0","0","6","1","3"
"-12","170","170","8","0","0","4","1","3"
"-11","278","278","13","0","0","4","1","3"
"-10","262","262","14","0","0","6","1","6"
"-9","324","324","14","0","0","10","1","8"
"-8","354","354","19","0","0","11","1","7"
"-7","569","569","31","0","0","19","1","11"
"-6","714","714","36","0","0","18","1","12"
"-5","504","504","28","0","0","24","1","13"
"-4","608","608","29","0","0","23","1","12"
"-3","696","696","33","0","0","22","1","11"
"-2","1422","1422","79","0","0","50","1","15"
"-1","786","786","70","0","0","48","1","18"
"0","2076","2076","166","0","0","135","1","21"
"1","0","0","-1","0","0","1","1","1"
"Total","18968","18968","1041","0","0","606","undefined","undefined"
