"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-59","16","16","1","0","0","1","1","1"
"-43","36","36","2","0","0","1","1","1"
"-40","108","108","6","0","0","1","1","1"
"-39","54","54","3","0","0","1","1","1"
"-37","90","90","5","0","0","2","1","2"
"-36","18","18","1","0","0","1","1","1"
"-33","36","36","2","0","0","1","1","1"
"-30","54","54","3","0","0","1","1","1"
"-29","36","36","2","0","0","1","1","1"
"-28","72","72","4","0","0","1","1","1"
"-26","72","72","4","0","0","1","1","1"
"-23","16","16","1","0","0","1","1","1"
"-21","34","34","2","0","0","2","1","2"
"-19","16","16","1","0","0","1","1","1"
"-17","18","18","1","0","0","1","1","1"
"-16","106","106","6","0","0","2","1","2"
"-15","108","108","6","0","0","2","1","2"
"-13","52","52","3","0","0","2","1","2"
"-12","120","120","9","0","0","5","1","4"
"-10","36","36","2","0","0","1","1","1"
"-9","68","68","9","0","0","5","1","3"
"-8","48","48","3","0","0","2","1","2"
"-7","108","108","8","0","0","6","1","5"
"-6","88","88","11","0","0","6","1","3"
"-5","126","126","7","0","0","5","1","3"
"-4","196","196","11","0","0","8","1","5"
"-3","282","282","18","0","0","11","1","5"
"-2","214","214","19","0","0","13","1","4"
"-1","476","476","38","0","0","26","1","7"
"0","744","744","270","0","0","169","1","7"
"Total","3448","3448","458","0","0","280","undefined","undefined"
