"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-108","84","69.999999999","3","0","0","2","1","1"
"-106","112","93.333333332","4","0","0","2","1","2"
"-105","112","93.333333332","4","0","0","2","1","1"
"-104","56","46.666666666","2","0","0","1","1","1"
"-103","84","69.999999999","3","0","0","1","1","1"
"-102","280","233.33333332999996","10","0","0","3","1","3"
"-101","112","93.333333332","4","0","0","2","1","2"
"-100","140","116.666666665","5","0","0","4","1","2"
"-99","308","256.66666666299994","11","0","0","4","1","4"
"-98","168","139.999999998","6","0","0","3","1","3"
"-97","224","186.666666664","8","0","0","3","1","2"
"-96","56","46.666666666","2","0","0","3","1","3"
"-95","224","186.666666664","8","0","0","3","1","3"
"-94","28","23.333333333","1","0","0","1","1","1"
"-93","224","186.666666664","8","0","0","5","1","3"
"-92","112","93.333333332","4","0","0","2","1","2"
"-91","224","186.666666664","8","0","0","4","1","4"
"-90","252","209.99999999699997","9","0","0","4","1","4"
"-89","336","279.99999999599993","12","0","0","7","1","5"
"-88","336","279.99999999599993","12","0","0","7","1","7"
"-87","448","373.33333332799987","17","0","0","8","1","8"
"-86","364","303.3333333289999","13","0","0","6","1","6"
"-85","84","69.999999999","3","0","0","3","1","3"
"-84","28","23.333333333","1","0","0","1","1","1"
"-83","196","163.333333331","7","0","0","4","1","4"
"-82","56","46.666666666","2","0","0","1","1","1"
"-81","224","186.666666664","8","0","0","4","1","3"
"-80","140","116.666666665","5","0","0","3","1","3"
"-79","56","46.666666666","2","0","0","1","1","1"
"-78","196","163.333333331","7","0","0","3","1","3"
"-74","56","46.666666666","2","0","0","1","1","1"
"-73","-56","-46.666666666","-2","0","0","1","1","1"
"-71","-56","-46.666666666","-2","0","0","1","1","1"
"-70","392","326.6666666619999","14","0","0","5","1","4"
"-69","56","46.666666666","2","0","0","1","1","1"
"-67","84","69.999999999","3","0","0","1","1","1"
"-66","140","116.666666665","5","0","0","3","1","3"
"-65","112","93.333333332","4","0","0","1","1","1"
"-64","168","139.999999998","6","0","0","3","1","3"
"-63","112","93.333333332","4","0","0","2","1","2"
"-62","168","139.999999998","6","0","0","2","1","2"
"-61","56","46.666666666","2","0","0","1","1","1"
"-59","28","23.333333333","1","0","0","1","1","1"
"-58","224","186.666666664","8","0","0","4","1","3"
"-57","392","326.6666666619999","14","0","0","4","1","4"
"-56","56","46.666666666","2","0","0","1","1","1"
"-55","56","46.666666666","2","0","0","1","1","1"
"-54","476","396.66666666099985","17","0","0","6","1","6"
"-53","140","116.666666665","5","0","0","3","1","3"
"-52","252","209.99999999699997","9","0","0","3","1","3"
"-50","112","93.333333332","4","0","0","2","1","2"
"-49","392","326.6666666619999","14","0","0","6","1","6"
"-48","140","116.666666665","6","0","0","3","1","3"
"-47","56","46.666666666","2","0","0","1","1","1"
"-46","700","583.3333333249999","25","0","0","12","1","7"
"-45","56","46.666666666","2","0","0","2","1","2"
"-44","224","186.666666664","8","0","0","5","1","2"
"-43","84","69.999999999","4","0","0","2","1","2"
"-42","196","163.333333331","7","0","0","4","1","3"
"-41","588","489.9999999929998","21","0","0","8","1","6"
"-40","224","186.666666664","8","0","0","4","1","4"
"-39","420","349.9999999949999","17","0","0","8","1","6"
"-38","336","279.99999999599993","14","0","0","4","1","4"
"-37","308","256.66666666299994","11","0","0","5","1","5"
"-36","420","349.9999999949999","17","0","0","9","1","8"
"-35","476","396.66666666099985","17","0","0","7","1","5"
"-34","224","186.666666664","10","0","0","4","1","2"
"-33","392","326.6666666619999","14","0","0","6","1","6"
"-32","280","233.33333332999996","10","0","0","4","1","4"
"-31","252","209.99999999699997","9","0","0","5","1","5"
"-30","420","349.9999999949999","13","0","0","8","1","8"
"-29","616","513.3333333259998","22","0","0","11","1","9"
"-28","616","513.3333333259998","22","0","0","8","1","8"
"-27","610.3999996185303","508.66666627853004","23","0","0","11","1","10"
"-26","252","209.99999999699997","9","0","0","5","1","5"
"-25","812","676.6666666570001","29","0","0","14","1","11"
"-24","616","513.3333333259998","23","0","0","9","1","7"
"-23","448","373.33333332799987","18","0","0","9","1","7"
"-22","420","349.9999999949999","17","0","0","9","1","8"
"-21","756","629.999999991","27","0","0","13","1","10"
"-20","504","419.99999999399984","18","0","0","8","1","7"
"-19","756","629.999999991","27","0","0","13","1","9"
"-18","784","653.333333324","49","0","0","34","1","13"
"-17","532","443.3333333269998","19","0","0","9","1","8"
"-16","1002.3999996185303","835.3333329405306","36","0","0","16","1","10"
"-15","936","779.9999999900002","34","0","0","21","1","11"
"-14","1200","999.9999999880006","51","0","0","28","1","15"
"-13","1092","909.9999999870005","39","0","0","21","1","12"
"-12","924","769.9999999890002","33","0","0","19","1","12"
"-11","560","466.6666666599998","24","0","0","16","1","10"
"-10","700","583.3333333249999","25","0","0","16","1","13"
"-9","720","599.999999992","27","0","0","17","1","13"
"-8","1876","1563.333333310999","72","0","0","37","1","18"
"-7","1260","1049.9999999850006","52","0","0","27","1","15"
"-6","1492","1243.333333319","63","0","0","39","1","15"
"-5","1508","1256.666666653","56","0","0","28","1","15"
"-4","1146.3999996185303","955.3333329405308","51","0","0","30","1","16"
"-3","1884","1569.9999999789989","74","0","0","41","1","19"
"-2","1660","1383.3333333169994","80","0","0","49","1","19"
"-1","2841.599998474121","2367.9999984521205","134","0","0","88","1","27"
"0","2636","2196.666666640999","180","0","0","144","1","27"
"5","0","0","2","0","0","1","1","1"
"Total","45580.79999732971","37983.999996824714","1860","0","0","1042","undefined","undefined"
