"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-96","28","23.333333333","1","0","0","1","1","1"
"-94","108","90","4","0","0","2","1","2"
"-92","112","93.333333332","4","0","0","3","1","3"
"-91","210","175.00000000200004","8","0","0","4","1","3"
"-90","242","201.66666666700002","9","0","0","4","1","4"
"-89","218","181.66666666499998","8","0","0","6","1","4"
"-88","134","111.666666667","5","0","0","4","1","3"
"-87","128","106.666666668","5","0","0","3","1","3"
"-86","24","20","1","0","0","1","1","1"
"-85","308","256.66666667000004","12","0","0","2","1","2"
"-84","438","365.0000000040001","17","0","0","9","1","8"
"-83","52","43.333333334","2","0","0","1","1","1"
"-82","102","85.000000001","4","0","0","2","1","2"
"-81","24","20","1","0","0","1","1","1"
"-80","104","86.666666668","4","0","0","1","1","1"
"-79","104","86.666666668","4","0","0","2","1","2"
"-78","108","90","4","0","0","3","1","3"
"-77","112","93.333333332","4","0","0","2","1","1"
"-76","196","163.333333331","7","0","0","1","1","1"
"-75","104","86.666666667","4","0","0","3","1","3"
"-74","526","438.3333333339999","20","0","0","6","1","5"
"-73","330","275.000000001","13","0","0","3","1","3"
"-72","482","401.666666668","19","0","0","8","1","6"
"-71","48","40","2","0","0","1","1","1"
"-70","258","215.00000000300008","10","0","0","5","1","5"
"-69","358","298.33333333700006","14","0","0","6","1","6"
"-68","126","105.000000001","5","0","0","3","1","3"
"-67","250","208.333333331","11","0","0","7","1","3"
"-66","256","213.333333332","11","0","0","7","1","5"
"-65","300","250.0000000020001","14","0","0","5","1","4"
"-64","370","308.333333331","16","0","0","13","1","5"
"-63","282","234.999999999","13","0","0","5","1","4"
"-62","222","185.00000000100005","9","0","0","5","1","5"
"-61","252","209.99999999799996","10","0","0","4","1","4"
"-59","556","463.333333336","21","0","0","13","1","7"
"-58","396","329.99999999900007","15","0","0","5","1","4"
"-57","290","241.666666669","11","0","0","4","1","4"
"-56","382","318.3333333350001","15","0","0","6","1","6"
"-55","98","81.666666667","5","0","0","3","1","2"
"-54","376","313.3333333319999","14","0","0","5","1","3"
"-53","76","63.333333334","3","0","0","3","1","3"
"-52","206","171.66666666900005","8","0","0","4","1","3"
"-51","182","151.66666666700002","8","0","0","4","1","4"
"-50","174","145.000000001","7","0","0","3","1","3"
"-49","148","123.333333334","6","0","0","2","1","2"
"-48","526","438.33333333700017","21","0","0","2","1","2"
"-47","372","310","15","0","0","8","1","7"
"-46","514","428.3333333370001","20","0","0","8","1","6"
"-45","344","286.66666666800006","14","0","0","8","1","6"
"-44","122","101.666666667","5","0","0","3","1","3"
"-43","348","290.00000000200004","14","0","0","6","1","4"
"-41","252","210.00000000200004","10","0","0","3","1","3"
"-40","430","358.333333335","17","0","0","6","1","5"
"-39","706","588.333333337","27","0","0","7","1","7"
"-38","532","443.3333333319999","20","0","0","9","1","8"
"-37","448","373.333333335","17","0","0","9","1","6"
"-36","528","440.00000000200004","20","0","0","9","1","9"
"-35","416","346.66666666599997","16","0","0","11","1","8"
"-34","496","413.333333335","19","0","0","10","1","9"
"-33","422","351.6666666690001","18","0","0","5","1","5"
"-32","434","361.66666666599997","18","0","0","8","1","7"
"-31","546","454.99999999899995","21","0","0","11","1","9"
"-30","418","348.333333334","18","0","0","7","1","7"
"-29","332","276.666666668","13","0","0","6","1","6"
"-28","424","353.333333334","17","0","0","9","1","8"
"-27","746","621.6666666710004","29","0","0","9","1","7"
"-26","212","176.666666668","8","0","0","4","1","4"
"-25","926","771.6666666699997","37","0","0","14","1","10"
"-24","686","571.6666666680001","27","0","0","14","1","11"
"-23","658","548.3333333350001","28","0","0","15","1","12"
"-22","1252","1043.333333339","49","0","0","19","1","13"
"-21","470","391.66666666900005","18","0","0","9","1","5"
"-20","724","603.3333333339999","30","0","0","14","1","11"
"-19","453","377.50000000100005","18","0","0","9","1","8"
"-18","857","714.166666672","33","0","0","17","1","11"
"-17","705","587.500000007","27","0","0","11","1","9"
"-16","1065","887.5000000059998","45","0","0","20","1","15"
"-15","647","539.1666666720001","27","0","0","12","1","10"
"-14","1088","906.6666666739995","48","0","0","20","1","15"
"-13","573","477.50000000100005","26","0","0","17","1","13"
"-12","1230","1025.0000000069992","52","0","0","29","1","16"
"-11","1083","902.5000000069998","42","0","0","19","1","14"
"-10","1134","945.0000000089995","43","0","0","22","1","14"
"-9","572","476.66666667000015","23","0","0","16","1","14"
"-8","680","566.666666672","31","0","0","15","1","11"
"-7","1410","1175.0000000109994","57","0","0","30","1","22"
"-6","2071","1725.8333333460014","89","0","0","50","1","26"
"-5","2098","1748.333333351001","81","0","0","42","1","21"
"-4","2038","1698.333333348001","91","0","0","56","1","24"
"-3","3675","3062.5000000319974","141","0","0","82","1","26"
"-2","2256","1880.0000000210014","94","0","0","56","1","23"
"-1","3788","3156.666666690997","248","0","0","161","1","32"
"0","4531","3775.8333333529954","375","0","0","301","1","36"
"1","-24","-20.000000001000004","-1","0","0","4","1","2"
"2","1","0.8333333329999988","0","0","0","2","1","2"
"4","-93","-77.5","-5","0","0","2","1","2"
"7","-24","-20","-1","0","0","1","1","1"
"Total","55898","46581.666666952005","2538","0","0","1422","undefined","undefined"
