"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-108","100","100","4","0","0","2","1","1"
"-107","217","217","9","0","0","4","1","2"
"-106","98","98","4","0","0","3","1","2"
"-105","150","150","6","0","0","3","1","3"
"-104","25","25","1","0","0","1","1","1"
"-103","240","240","10","0","0","5","1","4"
"-102","217","217","9","0","0","3","1","2"
"-100","48","48","2","0","0","1","1","1"
"-99","271","271","11","0","0","3","1","3"
"-98","574","574","24","0","0","9","1","8"
"-97","190","190","8","0","0","5","1","2"
"-96","315","315","13","0","0","5","1","3"
"-95","278","278","12","0","0","4","1","3"
"-94","478","478","20","0","0","10","1","6"
"-93","144","144","6","0","0","4","1","4"
"-92","119","119","5","0","0","4","1","2"
"-91","292","292","12","0","0","7","1","5"
"-90","388","388","16","0","0","8","1","4"
"-89","100","100","4","0","0","2","1","1"
"-88","424","424","18","0","0","5","1","4"
"-87","300","300","12","0","0","3","1","2"
"-86","320.4000015258789","320.4000015258789","14","0","0","7","1","6"
"-85","395","395","17","0","0","7","1","6"
"-84","771","771","33","0","0","10","1","6"
"-83","541","541","23","0","0","7","1","6"
"-82","883","883","37","0","0","13","1","9"
"-81","255","255","12","0","0","6","1","5"
"-80","713","713","24","0","0","14","1","6"
"-79","462","462","18","0","0","8","1","5"
"-78","550","550","23","0","0","12","1","8"
"-77","711","711","30","0","0","16","1","8"
"-76","492","492","22","0","0","11","1","8"
"-75","373","373","17","0","0","10","1","6"
"-74","344","344","16","0","0","8","1","6"
"-73","287","287","13","0","0","6","1","5"
"-72","379","379","16","0","0","6","1","6"
"-71","762","762","29","0","0","13","1","8"
"-70","205","205","9","0","0","5","1","6"
"-69","82","82","3","0","0","3","1","3"
"-68","280","280","10","0","0","6","1","5"
"-67","157","157","6","0","0","5","1","4"
"-66","155","155","7","0","0","3","1","3"
"-65","121","121","5","0","0","3","1","3"
"-64","-92","-92","-4","0","0","1","1","1"
"-63","148","148","6","0","0","4","1","4"
"-62","48","48","2","0","0","3","1","2"
"-61","194","194","8","0","0","5","1","5"
"-60","243","243","9","0","0","5","1","5"
"-59","51","51","3","0","0","1","1","1"
"-58","111","111","6","0","0","7","1","6"
"-57","73","73","3","0","0","2","1","2"
"-56","224","224","10","0","0","7","1","7"
"-55","563","563","23","0","0","8","1","6"
"-54","284","284","12","0","0","8","1","6"
"-53","134","134","6","0","0","4","1","4"
"-52","121","121","5","0","0","2","1","2"
"-51","238","238","10","0","0","6","1","6"
"-50","291","291","15","0","0","4","1","4"
"-49","211","211","11","0","0","6","1","5"
"-48","107","107","6","0","0","4","1","4"
"-47","813","813","33","0","0","12","1","9"
"-46","330","330","14","0","0","6","1","5"
"-45","300","300","14","0","0","10","1","7"
"-44","543","543","23","0","0","8","1","7"
"-43","701","701","29","0","0","11","1","6"
"-42","238","238","10","0","0","5","1","4"
"-41","417","417","17","0","0","5","1","4"
"-40","675","675","29","0","0","12","1","9"
"-39","169","169","7","0","0","3","1","2"
"-38","346","346","14","0","0","7","1","6"
"-37","365","365","15","0","0","12","1","10"
"-36","693","693","30","0","0","14","1","10"
"-35","467","467","19","0","0","9","1","9"
"-34","395","395","19","0","0","8","1","6"
"-33","668","668","28","0","0","15","1","10"
"-32","382","382","16","0","0","8","1","8"
"-31","982","982","44","0","0","18","1","12"
"-30","289","289","13","0","0","7","1","5"
"-29","635","635","27","0","0","12","1","8"
"-28","481","481","21","0","0","12","1","9"
"-27","371","371","17","0","0","10","1","8"
"-26","391","391","17","0","0","10","1","10"
"-25","725","725","31","0","0","13","1","10"
"-24","711","711","31","0","0","17","1","14"
"-23","706","706","32","0","0","17","1","13"
"-22","1284","1284","55","0","0","23","1","14"
"-21","687","687","29","0","0","14","1","11"
"-20","1088","1088","50","0","0","20","1","18"
"-19","739","739","31","0","0","14","1","12"
"-18","1033","1033","45","0","0","24","1","17"
"-17","959","959","41","0","0","21","1","15"
"-16","1167","1167","51","0","0","24","1","15"
"-15","975","975","42","0","0","20","1","16"
"-14","1167","1167","50","0","0","28","1","19"
"-13","982","982","41","0","0","17","1","14"
"-12","1541","1541","65","0","0","26","1","14"
"-11","1290","1290","54","0","0","24","1","15"
"-10","940","940","40","0","0","23","1","17"
"-9","1681","1681","73","0","0","37","1","21"
"-8","1544","1544","69","0","0","39","1","20"
"-7","1354","1354","65","0","0","41","1","22"
"-6","1881","1881","89","0","0","46","1","21"
"-5","1666","1666","70","0","0","37","1","21"
"-4","2147","2147","99","0","0","52","1","23"
"-3","2242","2242","111","0","0","74","1","28"
"-2","3143","3143","144","0","0","88","1","23"
"-1","3356","3356","237","0","0","157","1","30"
"0","5176","5176","268","0","0","206","1","35"
"1","4","4","0","0","0","2","1","2"
"Total","67994.40000152588","67994.40000152588","3090","0","0","1665","undefined","undefined"
