"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-140","66","66","3","0","0","2","1","2"
"-139","44","44","2","0","0","2","1","1"
"-137","96","96","4","0","0","1","1","1"
"-134","44","44","2","0","0","1","1","1"
"-132","46","46","2","0","0","1","1","1"
"-129","72","72","4","0","0","1","1","1"
"-124","22","22","1","0","0","1","1","1"
"-122","46","46","2","0","0","1","1","1"
"-121","88","88","4","0","0","3","1","2"
"-120","182","182","10","0","0","4","1","3"
"-119","66","66","3","0","0","2","1","2"
"-118","22","22","2","0","0","1","1","1"
"-117","92","92","4","0","0","2","1","2"
"-116","102","102","5","0","0","3","1","3"
"-115","44","44","2","0","0","1","1","1"
"-113","-44","-44","-2","0","0","1","1","1"
"-110","160","160","8","0","0","4","1","3"
"-108","76","76","4","0","0","2","1","2"
"-107","18","18","1","0","0","1","1","1"
"-106","112","112","5","0","0","2","1","2"
"-104","24","24","1","0","0","1","1","1"
"-103","156","156","7","0","0","2","1","2"
"-102","22","22","2","0","0","1","1","1"
"-100","48","48","2","0","0","1","1","1"
"-97","160","160","8","0","0","2","1","2"
"-96","0","0","0","0","0","2","1","1"
"-95","116","116","5","0","0","2","1","1"
"-94","44","44","2","0","0","1","1","1"
"-93","18","18","1","0","0","1","1","1"
"-89","48","48","2","0","0","1","1","1"
"-88","70","70","3","0","0","1","1","1"
"-87","44","44","2","0","0","1","1","1"
"-86","24","24","1","0","0","1","1","1"
"-85","88","88","4","0","0","2","1","2"
"-82","66","66","3","0","0","2","1","2"
"-80","44","44","2","0","0","1","1","1"
"-78","-44","-44","-2","0","0","1","1","1"
"-74","66","66","3","0","0","2","1","2"
"-73","114","114","5","0","0","3","1","3"
"-72","24","24","1","0","0","2","1","2"
"-71","110","110","5","0","0","4","1","1"
"-70","44","44","2","0","0","1","1","1"
"-69","166","166","7","0","0","3","1","2"
"-68","22","22","2","0","0","1","1","1"
"-67","46","46","2","0","0","1","1","1"
"-66","54","54","3","0","0","1","1","1"
"-61","0","0","60","0","0","1","1","1"
"-59","204","204","9","0","0","2","1","2"
"-56","96","96","4","0","0","2","1","2"
"-55","272","272","12","0","0","5","1","4"
"-54","186","186","8","0","0","4","1","4"
"-53","316","316","14","0","0","3","1","3"
"-52","356","356","15","0","0","4","1","3"
"-51","180","180","8","0","0","3","1","3"
"-50","228","228","10","0","0","7","1","6"
"-49","372","372","16","0","0","6","1","6"
"-48","66","66","3","0","0","2","1","2"
"-47","110","110","5","0","0","2","1","2"
"-46","428","428","19","0","0","8","1","6"
"-45","124","124","6","0","0","2","1","2"
"-44","526","526","23","0","0","8","1","6"
"-43","180","180","8","0","0","3","1","3"
"-42","694","694","30","0","0","10","1","8"
"-41","266","266","12","0","0","5","1","5"
"-40","344","344","18","0","0","6","1","5"
"-39","66","66","3","0","0","2","1","2"
"-38","312","312","14","0","0","6","1","4"
"-37","294","294","19","0","0","10","1","8"
"-36","212","212","10","0","0","4","1","4"
"-35","156","156","7","0","0","6","1","5"
"-34","114","114","5","0","0","2","1","2"
"-33","78","78","4","0","0","7","1","6"
"-32","356","356","16","0","0","7","1","5"
"-31","318","318","15","0","0","5","1","5"
"-30","132","132","7","0","0","3","1","2"
"-29","390","390","17","0","0","5","1","5"
"-28","136","136","6","0","0","3","1","3"
"-27","368","368","16","0","0","5","1","5"
"-26","544","544","25","0","0","11","1","9"
"-25","224","224","10","0","0","4","1","4"
"-24","110","110","5","0","0","2","1","2"
"-23","312","312","16","0","0","8","1","6"
"-22","854","854","38","0","0","14","1","12"
"-21","584","584","27","0","0","9","1","7"
"-20","212","212","9","0","0","5","1","5"
"-19","568","568","25","0","0","11","1","8"
"-18","154","154","7","0","0","5","1","6"
"-17","612","612","28","0","0","12","1","9"
"-16","700","700","32","0","0","12","1","11"
"-15","510","510","22","0","0","8","1","5"
"-14","630","630","31","0","0","15","1","7"
"-13","1068","1068","47","0","0","18","1","14"
"-12","806","806","39","0","0","13","1","9"
"-11","472","472","25","0","0","12","1","12"
"-10","416","416","18","0","0","8","1","7"
"-9","640","640","29","0","0","14","1","11"
"-8","524","524","25","0","0","9","1","6"
"-7","924","924","41","0","0","22","1","16"
"-6","628","628","27","0","0","12","1","8"
"-5","650","650","30","0","0","16","1","12"
"-4","1610","1610","76","0","0","34","1","18"
"-3","1392","1392","126","0","0","81","1","23"
"-2","1838","1838","82","0","0","50","1","21"
"-1","1536","1536","84","0","0","50","1","21"
"0","3206","3206","185","0","0","119","1","26"
"2","-48","-48","-2","0","0","1","1","1"
"Total","32484","32484","1665","0","0","800","undefined","undefined"
