"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-143","79.5","79.5","3","0","0","1","1","1"
"-138","26.5","26.5","1","0","0","1","1","1"
"-135","74.5","74.5","3","0","0","2","1","1"
"-134","74.5","74.5","3","0","0","1","1","1"
"-133","74.5","74.5","3","0","0","2","1","1"
"-132","53","53","2","0","0","1","1","1"
"-128","48","48","2","0","0","1","1","1"
"-126","26.5","26.5","1","0","0","1","1","1"
"-125","75","75","5","0","0","3","1","1"
"-124","53","53","2","0","0","1","1","1"
"-121","50.5","50.5","2","0","0","1","1","1"
"-111","30","30","2","0","0","1","1","1"
"-107","50.5","50.5","2","0","0","1","1","1"
"-93","30","30","2","0","0","1","1","1"
"-78","87","87","4","0","0","2","1","2"
"-76","106","106","4","0","0","1","1","1"
"-70","74.5","74.5","3","0","0","1","1","1"
"-62","30","30","2","0","0","1","1","1"
"-60","77","77","3","0","0","2","1","2"
"-59","192","192","8","0","0","1","1","1"
"-58","106","106","4","0","0","1","1","1"
"-57","53","53","2","0","0","1","1","1"
"-55","53","53","2","0","0","1","1","1"
"-53","103.5","103.5","4","0","0","2","1","2"
"-52","83","83","4","0","0","2","1","2"
"-51","26.5","26.5","1","0","0","1","1","1"
"-49","101","101","4","0","0","1","1","1"
"-45","53","53","2","0","0","1","1","1"
"-43","185.5","185.5","7","0","0","2","1","2"
"-41","214","214","10","0","0","5","1","5"
"-40","53","53","2","0","0","1","1","1"
"-39","132.5","132.5","5","0","0","3","1","2"
"-38","132.5","132.5","5","0","0","3","1","3"
"-37","53","53","2","0","0","1","1","1"
"-36","130","130","5","0","0","4","1","4"
"-35","69","69","4","0","0","3","1","2"
"-34","251","251","10","0","0","6","1","5"
"-33","107","107","5","0","0","3","1","3"
"-32","109.5","109.5","5","0","0","2","1","2"
"-31","219","219","10","0","0","4","1","4"
"-30","39","39","2","0","0","2","1","2"
"-29","48","48","3","0","0","2","1","2"
"-28","71.5","71.5","4","0","0","2","1","2"
"-27","106","106","4","0","0","2","1","2"
"-26","30","30","2","0","0","1","1","1"
"-25","53","53","2","0","0","2","1","2"
"-23","171.5","171.5","8","0","0","9","1","6"
"-22","335.5","335.5","14","0","0","9","1","5"
"-21","325.5","325.5","13","0","0","11","1","6"
"-20","208","208","9","0","0","5","1","5"
"-19","185.5","185.5","7","0","0","4","1","4"
"-18","527.5","527.5","21","0","0","10","1","10"
"-17","334.5","334.5","13","0","0","4","1","4"
"-16","515","515","20","0","0","7","1","6"
"-15","344.5","344.5","15","0","0","5","1","5"
"-14","522.5","522.5","20","0","0","9","1","8"
"-13","638","638","30","0","0","20","1","13"
"-12","553","553","20","0","0","9","1","6"
"-11","474","474","20","0","0","10","1","10"
"-10","810.5","810.5","34","0","0","18","1","10"
"-9","523","523","24","0","0","16","1","11"
"-8","65.5","65.5","4","0","0","6","1","6"
"-7","594","594","27","0","0","20","1","11"
"-6","554.5","554.5","23","0","0","13","1","9"
"-5","1002.5","1002.5","43","0","0","24","1","15"
"-4","946.5","946.5","39","0","0","23","1","12"
"-3","866.5","866.5","43","0","0","24","1","16"
"-2","1396","1396","68","0","0","42","1","20"
"-1","1843.5","1843.5","88","0","0","61","1","24"
"0","4258.5","4258.5","401","0","0","249","1","28"
"1","-48","-48","4","0","0","2","1","2"
"2","-24","-24","-1","0","0","1","1","1"
"3","-53","-53","-2","0","0","1","1","1"
"Total","21766","21766","1172","0","0","696","undefined","undefined"
