"Date analysis","Booked - Revenue (£)","Booked - Net (£)","Booked - Quantity","Reserved - Revenue (£)","Reserved - Quantity","Single orders","Number of shows","Number of events"
"-158","108","108","5","0","0","3","1","2"
"-147","60","60","3","0","0","1","1","1"
"-145","54","54","3","0","0","1","1","1"
"-144","40","40","2","0","0","1","1","1"
"-140","72","72","4","0","0","1","1","1"
"-135","-20","-20","-1","0","0","1","1","1"
"-134","20","20","1","0","0","1","1","1"
"-129","36","36","2","0","0","1","1","1"
"-120","80","80","4","0","0","1","1","1"
"-112","40","40","2","0","0","1","1","1"
"-110","22","22","1","0","0","1","1","1"
"-109","40","40","2","0","0","1","1","1"
"-103","20","20","1","0","0","1","1","1"
"-102","40","40","2","0","0","1","1","1"
"-97","40","40","2","0","0","1","1","1"
"-91","88","88","4","0","0","1","1","1"
"-89","134","134","7","0","0","3","1","3"
"-84","36","36","2","0","0","1","1","1"
"-79","20","20","2","0","0","1","1","1"
"-76","444","444","21","0","0","6","1","3"
"-75","80","80","4","0","0","2","1","2"
"-74","40","40","2","0","0","1","1","1"
"-73","120","120","6","0","0","2","1","2"
"-72","40","40","2","0","0","1","1","1"
"-68","171","171","8","0","0","4","1","3"
"-67","810.5","810.5","35","0","0","12","1","4"
"-66","971.5","971.5","42","0","0","17","1","5"
"-65","544.5","544.5","23","45.5","2","9","1","6"
"-64","503.5","503.5","24","0","0","7","1","6"
"-63","545.75","545.75","24","0","0","11","1","7"
"-62","948.5","948.5","40","0","0","17","1","9"
"-61","398.25","398.25","18","0","0","9","1","6"
"-60","272.25","272.25","12","0","0","8","1","5"
"-59","869.5","869.5","40","0","0","14","1","8"
"-58","913.5","913.5","40","0","0","20","1","9"
"-57","480","480","22","0","0","9","1","8"
"-56","491.5","491.5","23","0","0","9","1","8"
"-55","815.25","815.25","37","0","0","17","1","12"
"-54","892.25","892.25","38","0","0","12","1","8"
"-53","639.5","639.5","31","0","0","13","1","7"
"-52","1620.5","1620.5","70","0","0","29","1","9"
"-51","1469.75","1469.75","65","0","0","24","1","8"
"-50","1387.75","1387.75","59","0","0","30","1","14"
"-49","1715.5","1715.5","74","91","4","39","1","13"
"-48","1637.5","1637.5","76","0","0","35","1","14"
"-47","1175.5","1175.5","53","0","0","24","1","12"
"-46","1246.75","1246.75","55","0","0","24","1","14"
"-45","1029.75","1029.75","47","0","0","24","1","17"
"-44","684","684","35","0","0","14","1","9"
"-43","748.25","748.25","36","0","0","16","1","10"
"-42","1282.25","1282.25","58","0","0","22","1","18"
"-41","1146.5","1146.5","53","0","0","21","1","14"
"-40","798","798","38","0","0","14","1","10"
"-39","764.5","764.5","35","0","0","16","1","14"
"-38","753.25","753.25","35","0","0","17","1","11"
"-37","644.5","644.5","30","0","0","16","1","11"
"-36","940.75","940.75","46","0","0","21","1","14"
"-35","163.5","163.5","6","0","0","6","1","5"
"-34","484.5","484.5","25","0","0","12","1","11"
"-33","679","679","32","0","0","13","1","10"
"-32","755.75","755.75","38","0","0","18","1","13"
"-31","486","486","22","0","0","12","1","10"
"-30","274.75","274.75","15","0","0","9","1","7"
"-29","614.75","614.75","30","0","0","14","1","9"
"-28","731","731","35","0","0","15","1","12"
"-27","672.75","672.75","35","0","0","17","1","13"
"-26","898.25","898.25","43","0","0","18","1","12"
"-25","675","675","33","0","0","17","1","13"
"-24","367.25","367.25","17","0","0","11","1","9"
"-23","448.5","448.5","21","0","0","10","1","7"
"-22","382.25","382.25","26","0","0","17","1","11"
"-21","690","690","36","0","0","18","1","13"
"-20","5018.5","5018.5","224","0","0","110","1","14"
"-19","5234.75","5234.75","227","0","0","113","1","15"
"-18","1928.5","1928.5","89","0","0","41","1","15"
"-17","5393.75","5393.75","246","0","0","124","1","17"
"-16","5052","5052","228","0","0","108","1","13"
"-15","4087.5","4087.5","191","0","0","100","1","13"
"-14","1246","1246","63","0","0","43","1","15"
"-13","1502","1502","75","0","0","37","1","6"
"-12","946","946","47","0","0","26","1","8"
"-11","2744","2744","130","0","0","68","1","10"
"-10","2690","2690","129","0","0","74","1","7"
"-9","1456","1456","71","0","0","36","1","6"
"-8","1038","1038","60","0","0","33","1","8"
"-7","508","508","32","0","0","19","1","7"
"-6","1802","1802","94","0","0","52","1","6"
"-5","18","18","0","0","0","9","1","6"
"-4","46","46","4","0","0","4","1","4"
"-3","464","464","21","0","0","20","1","9"
"-2","500","500","27","0","0","14","1","8"
"-1","516","516","24","0","0","33","1","14"
"0","1338","1338","64","0","0","91","1","22"
"1","350","350","17","0","0","10","1","4"
"5","20","20","1","0","0","1","1","1"
"6","54","54","3","0","0","1","1","1"
"11","60","60","3","0","0","1","1","1"
"12","-40","-40","-2","0","0","1","1","1"
"13","38","38","2","0","0","2","1","1"
"Total","83300.5","83300.5","3889","136.5","6","1987","undefined","undefined"
